instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_07_n_30_seed_05.txt,7,30,5,4805,0.145156,12804,5268,5185,4828,0.0698428
dataset_D1/m_07_n_30_seed_06.txt,7,30,6,4896,0.148119,13548,5513,5237,4908,0.0813397
dataset_D1/m_07_n_30_seed_07.txt,7,30,7,5162,0.135147,12960,5974,5655,5185,0.0707742
dataset_D1/m_07_n_30_seed_08.txt,7,30,8,4890,0.128855,13744,5554,5357,4907,0.0738927
dataset_D1/m_07_n_30_seed_09.txt,7,30,9,4747,0.139004,12128,5389,5142,4758,0.0811625
dataset_D1/m_08_n_04_seed_00.txt,8,4,0,922,0.0327678,1843,959,1075,922,0.0129359
dataset_D1/m_08_n_04_seed_01.txt,8,4,1,930,0.0227757,1859,1023,969,930,0.0242503
dataset_D1/m_08_n_04_seed_02.txt,8,4,2,834,0.0238956,1776,871,916,834,0.0101031
dataset_D1/m_08_n_04_seed_03.txt,8,4,3,1057,0.010094,2085,1095,1082,1057,0.0145361
dataset_D1/m_08_n_04_seed_04.txt,8,4,4,893,0.0125471,2002,970,966,894,0.0142774
dataset_D1/m_08_n_04_seed_05.txt,8,4,5,821,0.012517,1776,900,862,821,0.0120807
dataset_D1/m_08_n_04_seed_06.txt,8,4,6,1133,0.0143184,2276,1183,1183,1133,0.0127581
dataset_D1/m_08_n_04_seed_07.txt,8,4,7,957,0.0163793,2071,959,1030,957,0.0163133
dataset_D1/m_08_n_04_seed_08.txt,8,4,8,1032,0.027671,2287,1085,1092,1032,0.0147778
dataset_D1/m_08_n_04_seed_09.txt,8,4,9,921,0.0184571,1932,1003,967,921,0.00959074
dataset_D1/m_08_n_06_seed_00.txt,8,6,0,1269,0.045885,2896,1345,1378,1269,0.0190932
dataset_D1/m_08_n_06_seed_01.txt,8,6,1,1232,0.0436995,2955,1281,1286,1237,0.0215718
dataset_D1/m_08_n_06_seed_02.txt,8,6,2,1378,0.0438111,3152,1520,1478,1388,0.01574
dataset_D1/m_08_n_06_seed_03.txt,8,6,3,1143,0.0479765,3099,1149,1369,1143,0.0224937
dataset_D1/m_08_n_06_seed_04.txt,8,6,4,1295,0.0447631,2840,1364,1396,1297,0.0188231
dataset_D1/m_08_n_06_seed_05.txt,8,6,5,1191,0.0457525,2812,1307,1304,1203,0.0157587
dataset_D1/m_08_n_06_seed_06.txt,8,6,6,1310,0.0407625,3059,1444,1462,1323,0.0157244
dataset_D1/m_08_n_06_seed_07.txt,8,6,7,1182,0.0455046,2760,1315,1300,1189,0.0202751
dataset_D1/m_08_n_06_seed_08.txt,8,6,8,1260,0.0431887,3014,1363,1369,1263,0.0140813
dataset_D1/m_08_n_06_seed_09.txt,8,6,9,1130,0.043794,2754,1303,1205,1130,0.0180595
dataset_D1/m_08_n_08_seed_00.txt,8,8,0,1422,0.0909476,3740,1534,1562,1430,0.0372801
dataset_D1/m_08_n_08_seed_01.txt,8,8,1,1649,0.0680543,4177,1836,1812,1649,0.0253335
dataset_D1/m_08_n_08_seed_02.txt,8,8,2,1633,0.0593051,3859,1835,1788,1641,0.0252673
dataset_D1/m_08_n_08_seed_03.txt,8,8,3,1646,0.0558883,4278,1776,1795,1650,0.0243671
dataset_D1/m_08_n_08_seed_04.txt,8,8,4,1620,0.06023,4201,1789,1742,1620,0.0285519
dataset_D1/m_08_n_08_seed_05.txt,8,8,5,1579,0.065965,3983,1783,1687,1588,0.0275843
dataset_D1/m_08_n_08_seed_06.txt,8,8,6,1586,0.0507055,3637,1702,1802,1619,0.0226359
dataset_D1/m_08_n_08_seed_07.txt,8,8,7,1496,0.0597625,3865,1687,1657,1506,0.0256216
dataset_D1/m_08_n_08_seed_08.txt,8,8,8,1608,0.0650342,4001,1813,1770,1608,0.0258037
dataset_D1/m_08_n_08_seed_09.txt,8,8,9,1488,0.0849683,4128,1620,1588,1488,0.0354367
dataset_D1/m_08_n_10_seed_00.txt,8,10,0,1824,0.0911039,5246,1985,2012,1825,0.0318778
dataset_D1/m_08_n_10_seed_01.txt,8,10,1,1708,0.114688,4304,1886,1948,1715,0.0468455
dataset_D1/m_08_n_10_seed_02.txt,8,10,2,1852,0.0906065,4893,2070,2088,1865,0.0284853
dataset_D1/m_08_n_10_seed_03.txt,8,10,3,1943,0.0796201,4817,2211,2176,1944,0.037888
dataset_D1/m_08_n_10_seed_04.txt,8,10,4,2080,0.0934771,4916,2313,2290,2091,0.030961
dataset_D1/m_08_n_10_seed_05.txt,8,10,5,1981,0.0976003,5378,2189,2128,1981,0.0390215
dataset_D1/m_08_n_10_seed_06.txt,8,10,6,1946,0.0839192,4967,2181,2146,1962,0.0345265
dataset_D1/m_08_n_10_seed_07.txt,8,10,7,1929,0.0949964,4812,2229,2084,1935,0.0354001
dataset_D1/m_08_n_10_seed_08.txt,8,10,8,2004,0.0891674,5418,2285,2151,2007,0.0288064
dataset_D1/m_08_n_10_seed_09.txt,8,10,9,2093,0.0909406,4756,2391,2376,2094,0.0266879
dataset_D1/m_08_n_12_seed_00.txt,8,12,0,2378,0.0909584,5941,2699,2594,2379,0.0373884
dataset_D1/m_08_n_12_seed_01.txt,8,12,1,2126,0.13981,5700,2362,2364,2128,0.0512103
dataset_D1/m_08_n_12_seed_02.txt,8,12,2,2356,0.112376,5968,2673,2648,2382,0.0422851
dataset_D1/m_08_n_12_seed_03.txt,8,12,3,2279,0.100428,5664,2608,2444,2283,0.0341882
dataset_D1/m_08_n_12_seed_04.txt,8,12,4,2254,0.121483,6317,2461,2400,2257,0.048548
dataset_D1/m_08_n_12_seed_05.txt,8,12,5,2243,0.101898,5823,2629,2474,2252,0.0429925
dataset_D1/m_08_n_12_seed_06.txt,8,12,6,2301,0.113101,5944,2630,2607,2343,0.035328
